"Allianz Trade Country Risk Ratings
March 2025 Review",,
Country,"Medium-Term Rating
(Country Grade)","Short-Term Rating
(Country Risk Level)"
Afghanistan,D,4 (High)
Albania,B,2 (Medium)
Algeria,C,2 (Medium)
American Samoa,A,1 (Low)
Andorra,AA,1 (Low)
Angola,D,3 (Sensitive)
Anguilla,BB,1 (Low)
Antarctica,AA,1 (Low)
Antigua & Barbuda,C,3 (Sensitive)
Argentina,D,3 (Sensitive)
Armenia,D,3 (Sensitive)
Aruba,BB,1 (Low)
Australia,AA,1 (Low)
Austria,AA,1 (Low)
Azerbaijan,C,1 (Low)
Bahamas,B,2 (Medium)
Bahrain,C,4 (High)
Bangladesh,D,3 (Sensitive)
Barbados,C,3 (Sensitive)
Belarus,D,4 (High)
Belgium,AA,1 (Low)
Belize,C,3 (Sensitive)
Benin,C,2 (Medium)
Bermuda,A,1 (Low)
"BES Islands (Bonaire, St Eustatius, Saba)",AA,1 (Low)
Bhutan,D,3 (Sensitive)
Bolivia,D,4 (High)
Bosnia and Herzegovina,D,3 (Sensitive)
Botswana,BB,1 (Low)
Bouvet Island,AA,1 (Low)
Brazil,B,2 (Medium)
British Indian Ocean Territory,AA,1 (Low)
British Virgin Islands,A,1 (Low)
Brunei,BB,2 (Medium)
Bulgaria,BB,1 (Low)
Burkina Faso,D,4 (High)
Burundi,D,4 (High)
Cambodia,C,2 (Medium)
Cameroon,C,3 (Sensitive)
Canada,AA,1 (Low)
Cape Verde Islands,B,2 (Medium)
Cayman Islands,A,1 (Low)
Central African Republic,D,4 (High)
Chad,D,4 (High)
Chile,BB,1 (Low)
China,B,1 (Low)
Christmas Island,A,1 (Low)
Cocos (Keeling) Islands,A,1 (Low)
Colombia,B,2 (Medium)
Comoros,D,4 (High)
Congo (Democratic Rep Of),D,3 (Sensitive)
Country,"Medium-Term Rating
(Country Grade)","Short-Term Rating
(Country Risk Level)"
Congo (People's Rep Of),D,4 (High)
Cook Islands,C,3 (Sensitive)
Costa Rica,BB,1 (Low)
Côte d'Ivoire,C,2 (Medium)
Croatia,BB,1 (Low)
Cuba,D,4 (High)
Curacao,C,3 (Sensitive)
Cyprus,BB,2 (Medium)
Czech Republic,BB,1 (Low)
Denmark,AA,1 (Low)
Djibouti,C,2 (Medium)
Dominica,C,3 (Sensitive)
Dominican Republic,B,1 (Low)
Ecuador,C,4 (High)
Egypt,D,3 (Sensitive)
El Salvador,C,3 (Sensitive)
Equatorial Guinea,D,4 (High)
Eritrea,D,4 (High)
Estonia,A,1 (Low)
Eswatini,C,3 (Sensitive)
Ethiopia,D,4 (High)
Falkland Islands,A,1 (Low)
Faroe Islands,A,1 (Low)
Fiji,D,3 (Sensitive)
Finland,AA,1 (Low)
France,AA,1 (Low)
French Guiana,AA,1 (Low)
French Polynesia,BB,1 (Low)
French Southern Territory,AA,1 (Low)
Gabon,D,3 (Sensitive)
Gambia,D,3 (Sensitive)
Georgia,C,3 (Sensitive)
Germany,AA,1 (Low)
Ghana,C,4 (High)
Gibraltar,A,1 (Low)
Greece,BB,2 (Medium)
Greenland,A,1 (Low)
Grenada,C,3 (Sensitive)
