Reference area,Rating agency,Rating,Rating date,Term type
Albania,Moody's,B1,2007-06-29,Long term
Albania,Moody's,B1,2007-06-29,Long term
Albania,S&P,B+,2010-04-19,Long term
Albania,S&P,B+,2010-04-19,Long term
Albania,S&P,B,2010-04-19,Short term
Albania,S&P,B,2010-04-19,Short term
Albania,S&P,B,2013-12-06,Long term
Albania,S&P,B,2013-12-06,Long term
Albania,Moody's,B1,2014-08-12,Long term
Albania,Moody's,B1,2014-08-12,Long term
Albania,S&P,B+,2016-02-05,Long term
Albania,S&P,B+,2016-02-05,Long term
Albania,Moody's,B1,2017-08-04,Long term
Albania,Moody's,B1,2017-08-04,Long term
Albania,Moody's,B1,2019-08-02,Long term
Albania,Moody's,B1,2019-08-02,Long term
Albania,Moody's,B1,2021-05-21,Long term
Albania,Moody's,B1,2021-05-21,Long term
Albania,Moody's,B1,2023-04-07,Long term
Albania,Moody's,B1,2023-04-07,Long term
Albania,S&P,B+,2023-09-22,Long term
Albania,S&P,B+,2023-09-22,Long term
Albania,S&P,BB-,2024-03-22,Long term
Albania,S&P,BB-,2024-03-22,Long term
Albania,Moody's,B1,2024-04-19,Long term
Albania,Moody's,B1,2024-04-19,Long term
Albania,Moody's,Ba3,2024-10-18,Long term
Albania,Moody's,Ba3,2024-10-18,Long term
Albania,S&P,BB,2025-03-21,Long term
Albania,S&P,BB,2025-03-21,Long term
Albania,Unknown Agency 4,A+,A+,Long term
Albania,Unknown Agency 5,F1,A-1,Long term
Albania,Unknown Agency 5,F1+,A-1+,Long term
Albania,Unknown Agency 5,F2,A-2,Long term
Albania,Unknown Agency 5,F3,A-3,Long term
Albania,Unknown Agency 4,A,A2,Long term
Albania,Unknown Agency 4,A-,A3,Long term
Albania,Unknown Agency 4,AA+,AA+,Long term
Albania,Unknown Agency 4,AAA,AAA,Long term
Albania,Unknown Agency 4,AA,Aa2,Long term
Albania,Unknown Agency 4,AA-,Aa3,Long term
Albania,Unknown Agency 5,B,B,Long term
Albania,Unknown Agency 4,B+,B+,Long term
Albania,Unknown Agency 4,B,B2,Long term
Albania,Unknown Agency 4,B-,B3,Long term
Albania,Unknown Agency 4,BB+,BB+,Long term
Albania,Unknown Agency 4,BBB+,BBB+,Long term
Albania,Unknown Agency 4,BB,Ba2,Long term
Albania,Unknown Agency 4,BB-,Ba3,Long term
Albania,Unknown Agency 4,BBB,Baa2,Long term
Albania,Unknown Agency 4,BBB-,Baa3,Long term
Albania,Unknown Agency 5,C,C,Long term
Albania,Unknown Agency 4,CC,CC,Long term
Albania,Unknown Agency 4,CCC+,CCC+,Long term
Albania,Unknown Agency 4,CCC,Caa2,Long term
Albania,Unknown Agency 4,CCC-,Caa3,Long term
Albania,Unknown Agency 4,D,D,Long term
Albania,Unknown Agency 4,Ca,Extremely speculative,Long term
Albania,Unknown Agency 5,NP,Extremely speculative,Long term
Albania,Moody's,Local currency,Foreign currency,Long term
Albania,Moody's,Local currency,Foreign currency,Long term
Albania,S&P,Local currency,Foreign currency,Long term
Albania,S&P,Local currency,Foreign currency,Long term
Albania,Fitch,Local currency,Foreign currency,Long term
Albania,Fitch,Local currency,Foreign currency,Long term
Albania,Unknown Agency 4,Aa1,High grade,Long term
Albania,Unknown Agency 5,P-1,High grade,Long term
Albania,Unknown Agency 4,B1,Highly speculative,Long term
Albania,Unknown Agency 4,C,In default,Long term
Albania,Unknown Agency 4,Baa1,Lower medium grade,Long term
Albania,Unknown Agency 5,P-2,Lower medium grade,Long term
Albania,Unknown Agency 4,Ba1,Non-investment gradespeculative,Long term
Albania,Unknown Agency 5,P-3,Non-investment gradespeculative,Long term
Albania,Unknown Agency 4,WR,Not rated,Long term
Albania,Unknown Agency 4,Aaa,Prime,Long term
Albania,Unknown Agency 4,RD,SD,Long term
Albania,Unknown Agency 4,Caa1,Substantial risks,Long term
Albania,Unknown Agency 4,A1,Upper medium grade,Long term
Albania,Unknown Agency 5,P-1,Upper medium grade,Long term
Andorra,S&P,A,2010-06-14,Long term
Andorra,S&P,A,2010-06-14,Long term
Andorra,S&P,A-1,2010-06-14,Short term
Andorra,S&P,A-1,2010-06-14,Short term
Andorra,S&P,A-,2012-12-03,Long term
Andorra,S&P,A-,2012-12-03,Long term
Andorra,S&P,A-2,2012-12-03,Short term
Andorra,S&P,A-2,2012-12-03,Short term
Andorra,S&P,BBB+,2014-10-03,Long term
Andorra,S&P,BBB+,2014-10-03,Long term
Andorra,S&P,BBB,2015-03-12,Long term
Andorra,S&P,BBB,2015-03-12,Long term
Andorra,S&P,BBB-,2015-03-27,Long term
Andorra,S&P,BBB-,2015-03-27,Long term
Andorra,S&P,A-3,2015-03-27,Short term
Andorra,S&P,A-3,2015-03-27,Short term
Andorra,Fitch,BBB,2015-09-11,Long term
Andorra,Fitch,F2,2015-09-11,Short term
