Reference area,Measure,Time period
SAU,161243.9,2017-Q3
POL,44849.0,2017-Q3
AUS,-987898.0,2024-Q1
AUS,-965784.0,2023-Q4
AUS,-908383.0,2023-Q3
AUS,353976.0,2018-Q1
AUS,338744.0,2017-Q4
AUS,-917200.0,2022-Q2
AUS,-887801.0,2022-Q1
AUS,-953620.0,2021-Q4
AUS,-952215.0,2021-Q3
AUS,-941043.0,2021-Q2
AUS,-931353.0,2021-Q1
AUS,-983449.0,2020-Q4
AUS,-977415.0,2020-Q3
AUS,-930282.0,2020-Q2
AUS,-1122090.0,2024-Q4
AUS,-1062595.0,2024-Q3
AUS,-1031250.0,2024-Q2
AUS,-894310.0,2018-Q3
AUS,-912416.0,2018-Q2
AUS,-891791.0,2018-Q1
AUS,-868117.0,2017-Q4
AUS,-839183.0,2017-Q3
AUS,-820639.0,2017-Q2
AUS,-800140.0,2017-Q1
AUS,-818527.0,2016-Q4
AUS,-825119.0,2016-Q3
AUS,-845066.0,2016-Q2
AUS,-843304.0,2016-Q1
AUS,-868561.0,2015-Q4
AUS,-878913.0,2015-Q3
AUS,-839963.0,2015-Q2
AUS,-837844.0,2015-Q1
AUS,1631096.0,2024-Q4
AUS,1559038.0,2024-Q3
AUS,1508171.0,2024-Q2
AUS,1481162.0,2024-Q1
AUS,1427922.0,2023-Q4
AUS,1357313.0,2023-Q3
AUS,1345257.0,2023-Q2
AUS,1365692.0,2023-Q1
AUS,-922252.0,2023-Q2
AUS,-962217.0,2023-Q1
AUS,-934587.0,2022-Q4
AUS,-908619.0,2022-Q3
AUS,1348743.0,2020-Q3
AUS,1308532.0,2020-Q2
AUS,1364472.0,2020-Q1
AUS,1341912.0,2019-Q4
AUS,1344935.0,2019-Q3
AUS,1314438.0,2019-Q2
AUS,1305969.0,2019-Q1
AUS,1310810.0,2018-Q4
AUS,1260561.0,2018-Q3
AUS,1272770.0,2018-Q2
AUS,1245767.0,2018-Q1
AUS,1206861.0,2017-Q4
AUS,1175115.0,2017-Q3
AUS,1154695.0,2017-Q2
AUS,1130769.0,2017-Q1
AUS,1147186.0,2016-Q4
AUS,1149965.0,2016-Q3
AUS,1167652.0,2016-Q2
AUS,1153071.0,2016-Q1
AUS,1180649.0,2015-Q4
AUS,1188045.0,2015-Q3
AUS,1133751.0,2015-Q2
AUS,1131093.0,2015-Q1
AUS,509006.0,2024-Q4
AUS,496443.0,2024-Q3
AUS,476921.0,2024-Q2
AUS,493264.0,2024-Q1
AUS,462138.0,2023-Q4
AUS,448930.0,2023-Q3
AUS,423005.0,2023-Q2
AUS,403475.0,2023-Q1
AUS,385612.0,2022-Q4
AUS,404917.0,2022-Q3
AUS,391820.0,2022-Q2
AUS,397689.0,2022-Q1
AUS,397320.0,2021-Q4
AUS,388450.0,2021-Q3
AUS,381027.0,2021-Q2
AUS,372502.0,2021-Q1
AUS,372691.0,2020-Q4
AUS,371328.0,2020-Q3
AUS,378250.0,2020-Q2
AUS,384735.0,2020-Q1
AUS,385582.0,2019-Q4
AUS,388755.0,2019-Q3
AUS,383570.0,2019-Q2
AUS,369087.0,2019-Q1
AUS,370009.0,2018-Q4
AUS,366251.0,2018-Q3
AUS,360354.0,2018-Q2
AUS,-979737.0,2020-Q1
AUS,-956330.0,2019-Q4
