Reference area,Measure,Time period
AUT,71.45798,2016-Q2
AUT,71.67615,2016-Q3
SWE,77.41642,2023-Q3
SWE,77.28474,2023-Q4
SWE,77.00802,2024-Q1
AUT,71.64451,2021-Q2
AUT,73.1341,2021-Q3
SWE,76.25519,2024-Q4
SWE,73.79909,2020-Q2
SWE,74.03895,2020-Q3
SWE,74.72294,2020-Q4
SWE,74.35446,2021-Q1
SWE,74.85592,2021-Q2
SWE,75.32556,2021-Q3
SWE,75.8708,2021-Q4
SWE,76.43583,2022-Q1
SWE,76.85993,2022-Q2
SWE,76.50595,2019-Q4
SWE,75.90855,2020-Q1
SWE,77.37933,2023-Q2
SWE,74.54141,2015-Q1
SWE,74.62551,2015-Q2
SWE,75.09267,2015-Q3
SWE,75.30862,2015-Q4
SWE,75.31741,2016-Q1
SWE,75.63242,2016-Q2
SWE,75.57966,2016-Q3
SWE,75.7448,2016-Q4
SWE,76.14495,2017-Q1
SWE,76.05593,2017-Q2
SWE,76.23404,2017-Q3
SWE,76.35793,2017-Q4
SWE,76.65352,2018-Q1
SWE,76.61923,2018-Q2
SWE,76.73625,2018-Q3
SWE,76.78005,2018-Q4
SWE,76.66406,2019-Q1
SWE,76.26988,2019-Q2
IRL,69.73127,2019-Q4
IRL,69.99961,2020-Q1
IRL,73.85986,2023-Q3
IRL,74.10564,2023-Q4
IRL,74.34844,2024-Q1
SWE,76.90174,2024-Q2
SWE,76.51797,2024-Q3
IRL,66.5392,2020-Q4
IRL,65.9919,2021-Q1
IRL,69.03456,2021-Q2
IRL,71.72366,2021-Q3
IRL,72.51241,2021-Q4
IRL,73.15997,2022-Q1
IRL,73.70283,2022-Q2
IRL,72.93309,2022-Q3
IRL,73.25651,2022-Q4
IRL,73.94009,2023-Q1
IRL,74.21397,2023-Q2
IRL,64.10306,2015-Q1
IRL,64.55506,2015-Q2
IRL,64.89268,2015-Q3
IRL,65.28941,2015-Q4
IRL,65.62585,2016-Q1
IRL,66.23238,2016-Q2
IRL,66.72463,2016-Q3
IRL,67.01662,2016-Q4
IRL,67.30375,2017-Q1
IRL,67.52363,2017-Q2
IRL,67.56474,2017-Q3
IRL,67.92511,2017-Q4
IRL,68.16717,2018-Q1
IRL,68.51942,2018-Q2
IRL,68.61718,2018-Q3
IRL,68.70525,2018-Q4
IRL,69.46381,2019-Q1
IRL,69.19415,2019-Q2
ITA,57.14097,2016-Q3
ITA,57.24035,2016-Q4
ITA,56.3092,2020-Q2
ITA,57.10796,2020-Q3
ITA,57.47325,2020-Q4
ITA,56.72596,2021-Q1
ITA,57.85502,2021-Q2
ITA,58.93068,2021-Q3
ITA,57.6888,2017-Q1
ITA,57.6713,2017-Q2
ITA,57.98707,2017-Q3
ITA,58.09026,2017-Q4
ITA,58.24754,2018-Q1
ITA,58.6797,2018-Q2
ITA,58.62091,2018-Q3
ITA,58.52185,2018-Q4
ITA,58.85263,2019-Q1
ITA,59.07257,2019-Q2
ITA,59.10221,2019-Q3
ITA,59.168,2019-Q4
ITA,58.97102,2020-Q1
