Reference area,Measure,Time period
USA,433093.0,2017-Q1
USA,405785.0,2016-Q4
AUS,81526.0,2018-Q1
AUS,88227.0,2017-Q4
AUS,74827.0,2017-Q3
AUS,96249.0,2023-Q2
AUS,97351.0,2023-Q1
AUS,69633.0,2016-Q2
AUS,64339.0,2016-Q1
AUS,67440.0,2015-Q4
AUS,72671.0,2015-Q3
AUS,67282.0,2015-Q2
AUS,74500.0,2015-Q1
AUS,109368.0,2025-Q1
AUS,107057.0,2024-Q4
AUS,99803.0,2024-Q3
AUS,81451.0,2018-Q4
AUS,79447.0,2018-Q3
AUS,80083.0,2018-Q2
AUS,93848.0,2022-Q4
AUS,91149.0,2022-Q3
AUS,86576.0,2022-Q2
AUS,81841.0,2022-Q1
AUS,84938.0,2021-Q4
AUS,84021.0,2021-Q3
AUS,64799.0,2021-Q2
AUS,63574.0,2021-Q1
AUS,59574.0,2020-Q4
AUS,64130.0,2020-Q3
AUS,65297.0,2020-Q2
AUS,96813.0,2020-Q1
AUS,85684.0,2019-Q4
AUS,78981.0,2019-Q3
AUS,80953.0,2019-Q2
AUS,82084.0,2019-Q1
AUS,109368.0,2025-Q1
AUS,107057.0,2024-Q4
AUS,99803.0,2024-Q3
AUS,97217.0,2024-Q2
AUS,98120.0,2024-Q1
AUS,94844.0,2023-Q4
AUS,97008.0,2023-Q3
AUS,84078.0,2017-Q2
AUS,79966.0,2017-Q1
AUS,76085.0,2016-Q4
AUS,65826.0,2016-Q3
CAN,145267.0,2022-Q4
CAN,140755.0,2022-Q3
CAN,136955.0,2022-Q2
CAN,129663.0,2022-Q1
CAN,135163.0,2021-Q4
CAN,135398.0,2021-Q3
CAN,110177.0,2021-Q2
CAN,104844.0,2021-Q1
CAN,115133.0,2020-Q4
CAN,120261.0,2020-Q3
CAN,118941.0,2020-Q2
CAN,175001.0,2024-Q4
CAN,172887.0,2024-Q3
CAN,168213.0,2024-Q2
CAN,159822.0,2024-Q1
CAN,156432.0,2023-Q4
CAN,152027.0,2023-Q3
CAN,145267.0,2022-Q4
CAN,140755.0,2022-Q3
AUS,91149.0,2022-Q3
AUS,86576.0,2022-Q2
AUS,81841.0,2022-Q1
AUS,84938.0,2021-Q4
AUS,84021.0,2021-Q3
AUS,64799.0,2021-Q2
AUS,63574.0,2021-Q1
AUS,59574.0,2020-Q4
AUS,64130.0,2020-Q3
AUS,65297.0,2020-Q2
AUS,96813.0,2020-Q1
AUS,85684.0,2019-Q4
AUS,78981.0,2019-Q3
AUS,80953.0,2019-Q2
AUS,82084.0,2019-Q1
AUS,81451.0,2018-Q4
AUS,79447.0,2018-Q3
AUS,80083.0,2018-Q2
AUS,81526.0,2018-Q1
AUS,88227.0,2017-Q4
AUS,74827.0,2017-Q3
AUS,84078.0,2017-Q2
AUS,79966.0,2017-Q1
AUS,76085.0,2016-Q4
AUS,65826.0,2016-Q3
AUS,69633.0,2016-Q2
AUS,64339.0,2016-Q1
AUS,67440.0,2015-Q4
AUS,72671.0,2015-Q3
AUS,67282.0,2015-Q2
AUS,74500.0,2015-Q1
AUS,97217.0,2024-Q2
AUS,98120.0,2024-Q1
AUS,94844.0,2023-Q4
AUS,97008.0,2023-Q3
AUS,96249.0,2023-Q2
AUS,97351.0,2023-Q1
CHE,584018.8,2015-Q3
CHE,558456.6,2015-Q2
CHE,566816.2,2015-Q1
CHE,820915.1,2020-Q1
CHE,826408.7,2019-Q4
CHE,832459.6,2019-Q3
CHE,811375.8,2019-Q2
CHE,805391.8,2019-Q1
CHE,776497.5,2018-Q4
CHE,784027.2,2018-Q3
CHE,795601.6,2018-Q2
CHE,785293.3,2018-Q1
CHE,792129.2,2017-Q4
CHE,772082.5,2017-Q3
CHE,739149.1,2017-Q2
CHE,730815.3,2017-Q1
CHE,690496.7,2016-Q4
CHE,676640.9,2016-Q3
CHE,657851.6,2016-Q2
CHE,622331.1,2016-Q1
CHE,601358.9,2015-Q4
CHE,584018.8,2015-Q3
CHE,558456.6,2015-Q2
CHE,566816.2,2015-Q1
CHE,822566.8,2024-Q4
CHE,802291.0,2024-Q3
CHE,794255.8,2024-Q2
CHE,794943.4,2024-Q1
CHE,724375.9,2023-Q4
CHE,747856.1,2023-Q3
CHE,794566.6,2023-Q2
CHE,816130.4,2023-Q1
CHE,794566.6,2023-Q2
CHE,816130.4,2023-Q1
CHE,852195.2,2022-Q4
CHE,872748.1,2022-Q3
